BR gate (corrected): arena=contested reward_baseline=twin antag_target_entropy=0.5 gamma=0.997; training antagonist vs frozen GREEDY for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep  119 | Phase: ANTAGON | Ticks: 775 | Protag R: -3710.00 | Antag R: 3386.00 | Delivery:  34.5% | Budget Used: 3240.00/4000.0
Ep  120 | Phase: ANTAGON | Ticks: 779 | Protag R: -5386.00 | Antag R: 5062.00 | Delivery:  29.6% | Budget Used: 3240.00/4000.0
Ep  121 | Phase: ANTAGON | Ticks: 783 | Protag R: -4412.00 | Antag R: 4076.00 | Delivery:  35.1% | Budget Used: 3360.00/4000.0
Ep  122 | Phase: ANTAGON | Ticks: 789 | Protag R: -3780.00 | Antag R: 3444.00 | Delivery:  40.8% | Budget Used: 3360.00/4000.0
Ep  123 | Phase: ANTAGON | Ticks: 787 | Protag R: -4861.00 | Antag R: 4549.00 | Delivery:  29.1% | Budget Used: 3120.00/4000.0
Ep  124 | Phase: ANTAGON | Ticks: 796 | Protag R: -3307.00 | Antag R: 2983.00 | Delivery:  40.0% | Budget Used: 3240.00/4000.0
Ep  125 | Phase: ANTAGON | Ticks: 799 | Protag R: -3423.00 | Antag R: 3147.00 | Delivery:  36.2% | Budget Used: 2760.00/4000.0
Ep  126 | Phase: ANTAGON | Ticks: 798 | Protag R: -4849.00 | Antag R: 4513.00 | Delivery:  51.2% | Budget Used: 3360.00/4000.0
Ep  127 | Phase: ANTAGON | Ticks: 797 | Protag R: -4001.00 | Antag R: 3677.00 | Delivery:  38.8% | Budget Used: 3240.00/4000.0
Ep  128 | Phase: ANTAGON | Ticks: 781 | Protag R: -5621.00 | Antag R: 5297.00 | Delivery:  33.3% | Budget Used: 3240.00/4000.0
Ep  129 | Phase: ANTAGON | Ticks: 793 | Protag R: -4616.00 | Antag R: 4304.00 | Delivery:  40.0% | Budget Used: 3120.00/4000.0
Ep  130 | Phase: ANTAGON | Ticks: 796 | Protag R: -2717.00 | Antag R: 2441.00 | Delivery:  37.3% | Budget Used: 2760.00/4000.0
Ep  131 | Phase: ANTAGON | Ticks: 782 | Protag R: -2561.00 | Antag R: 2249.00 | Delivery:  62.1% | Budget Used: 3120.00/4000.0
Ep  132 | Phase: ANTAGON | Ticks: 796 | Protag R: -3223.00 | Antag R: 2983.00 | Delivery:  50.0% | Budget Used: 2400.00/4000.0
Ep  133 | Phase: ANTAGON | Ticks: 798 | Protag R: -5461.00 | Antag R: 5113.00 | Delivery:  40.9% | Budget Used: 3480.00/4000.0
Ep  134 | Phase: ANTAGON | Ticks: 787 | Protag R: -3401.00 | Antag R: 3137.00 | Delivery:  40.0% | Budget Used: 2640.00/4000.0
Ep  135 | Phase: ANTAGON | Ticks: 778 | Protag R: -4540.00 | Antag R: 4240.00 | Delivery:  35.6% | Budget Used: 3000.00/4000.0
Ep  136 | Phase: ANTAGON | Ticks: 775 | Protag R: -5777.00 | Antag R: 5429.00 | Delivery:  32.7% | Budget Used: 3480.00/4000.0
Ep  137 | Phase: ANTAGON | Ticks: 791 | Protag R: -4763.00 | Antag R: 4463.00 | Delivery:  43.2% | Budget Used: 3000.00/4000.0
Ep  138 | Phase: ANTAGON | Ticks: 798 | Protag R: -3582.00 | Antag R: 3282.00 | Delivery:  40.5% | Budget Used: 3000.00/4000.0
Ep  139 | Phase: ANTAGON | Ticks: 775 | Protag R: -3785.00 | Antag R: 3437.00 | Delivery:  37.3% | Budget Used: 3480.00/4000.0
Ep  140 | Phase: ANTAGON | Ticks: 777 | Protag R: -2786.00 | Antag R: 2510.00 | Delivery:  46.5% | Budget Used: 2760.00/4000.0
Ep  141 | Phase: ANTAGON | Ticks: 798 | Protag R: -5306.00 | Antag R: 4982.00 | Delivery:  37.3% | Budget Used: 3240.00/4000.0
Ep  142 | Phase: ANTAGON | Ticks: 775 | Protag R: -5167.00 | Antag R: 4855.00 | Delivery:  35.3% | Budget Used: 3120.00/4000.0
Ep  143 | Phase: ANTAGON | Ticks: 799 | Protag R: -4572.00 | Antag R: 4272.00 | Delivery:  38.8% | Budget Used: 3000.00/4000.0
Ep  144 | Phase: ANTAGON | Ticks: 797 | Protag R: -3080.00 | Antag R: 2792.00 | Delivery:  54.8% | Budget Used: 2880.00/4000.0
Ep  145 | Phase: ANTAGON | Ticks: 775 | Protag R: -3062.00 | Antag R: 2726.00 | Delivery:  38.9% | Budget Used: 3360.00/4000.0
Ep  146 | Phase: ANTAGON | Ticks: 787 | Protag R: -3934.00 | Antag R: 3622.00 | Delivery:  41.3% | Budget Used: 3120.00/4000.0
Ep  147 | Phase: ANTAGON | Ticks: 781 | Protag R: -3550.00 | Antag R: 3274.00 | Delivery:  40.4% | Budget Used: 2760.00/4000.0
Ep  148 | Phase: ANTAGON | Ticks: 798 | Protag R: -4339.00 | Antag R: 4063.00 | Delivery:  43.2% | Budget Used: 2760.00/4000.0
Ep  149 | Phase: ANTAGON | Ticks: 780 | Protag R: -2638.00 | Antag R: 2338.00 | Delivery:  41.2% | Budget Used: 3000.00/4000.0
Ep  150 | Phase: ANTAGON | Ticks: 778 | Protag R: -1695.00 | Antag R: 1443.00 | Delivery:  51.4% | Budget Used: 2520.00/4000.0
