BR gate: training antagonist vs frozen GREEDY on hybrid route-reach for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep  158 | Phase: ANTAGON | Ticks: 245 | Protag R: -894.00 | Antag R:  806.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  159 | Phase: ANTAGON | Ticks: 727 | Protag R: -2739.00 | Antag R: 2589.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  160 | Phase: ANTAGON | Ticks: 481 | Protag R: -1653.00 | Antag R: 1503.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  161 | Phase: ANTAGON | Ticks: 487 | Protag R: -1506.00 | Antag R: 1356.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  162 | Phase: ANTAGON | Ticks: 585 | Protag R: -2188.00 | Antag R: 2038.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  163 | Phase: ANTAGON | Ticks: 308 | Protag R: -1231.00 | Antag R: 1093.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep  164 | Phase: ANTAGON | Ticks: 250 | Protag R: -880.00 | Antag R:  792.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  165 | Phase: ANTAGON | Ticks: 752 | Protag R: -2261.00 | Antag R: 2111.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  166 | Phase: ANTAGON | Ticks: 551 | Protag R: -2202.00 | Antag R: 2052.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  167 | Phase: ANTAGON | Ticks: 363 | Protag R: -1526.00 | Antag R: 1426.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep  168 | Phase: ANTAGON | Ticks: 431 | Protag R: -1093.00 | Antag R:  943.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  169 | Phase: ANTAGON | Ticks: 385 | Protag R: -1637.00 | Antag R: 1524.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
