Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen02_dynassign/dynassign_seed1/snapshots/protagonist_ep250.pt (node_in_dim=11).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_sacred_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep  144 | Phase: ANTAGON | Ticks: 775 | Protag R: -6806.00 | Antag R: 6435.00 | Delivery:  61.9% | Budget Used: 3720.00/4000.0
Ep  145 | Phase: ANTAGON | Ticks: 791 | Protag R: -9108.00 | Antag R: 8737.00 | Delivery:  46.3% | Budget Used: 3720.00/4000.0
Ep  146 | Phase: ANTAGON | Ticks: 776 | Protag R: -9369.00 | Antag R: 8998.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  147 | Phase: ANTAGON | Ticks: 782 | Protag R: -7726.00 | Antag R: 7355.00 | Delivery:  48.9% | Budget Used: 3720.00/4000.0
Ep  148 | Phase: ANTAGON | Ticks: 794 | Protag R: -9433.00 | Antag R: 9061.00 | Delivery:  56.8% | Budget Used: 3720.00/4000.0
Ep  149 | Phase: ANTAGON | Ticks: 785 | Protag R: -12120.00 | Antag R: 11748.00 | Delivery:  43.1% | Budget Used: 3720.00/4000.0
Ep  150 | Phase: ANTAGON | Ticks: 797 | Protag R: -3339.00 | Antag R: 2967.00 | Delivery:  65.7% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: ANTAGON | Ticks: 794 | Protag R: -12158.00 | Antag R: 11787.00 | Delivery:  46.4% | Budget Used: 3720.00/4000.0
Ep  152 | Phase: ANTAGON | Ticks: 799 | Protag R: -9660.00 | Antag R: 9289.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep  153 | Phase: ANTAGON | Ticks: 787 | Protag R: -8461.00 | Antag R: 8090.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
